ID Nobs Nfilt obs_first theta_E	mb		dt_input 
SN619 12 3 61023.31910684112 0.15382811807631105 23.513538471335416 3.1352398459124045
SN620 0 0 61074.38037607963 1.2307872609643775 20.86634821594197 5.323046871212711
SN621 8 3 60311.26048921549 0.4629434892219386 22.992445946051042 13.346163052000534
SN622 8 4 60548.320604868226 0.6433833081305814 22.29103386457647 5.190285169181607
SN623 13 5 61156.39811355022 1.313451086003116 22.073631377956225 86.84068405821854
SN626 5 4 60966.32427121453 0.40436859904212485 22.99957093013336 13.616464130387676
SN627 13 4 61082.31559544685 0.12684004968486995 23.124094042293166 2.602356086201656
SN628 3 3 60790.368555650726 0.4859651894990236 22.04062127473326 13.931305234631905
SN630 15 4 60848.35803651511 0.8435572161935185 23.145132469313577 21.635637586869944
SN631 6 4 60390.36328999098 1.104609442971941 22.505733925436665 102.54240719794636
SN632 15 3 60303.35612251929 1.319701614554303 23.117961914888674 76.43152441636519
SN636 14 5 60939.21495461972 0.6342399489317194 22.265852607140587 11.140422841416411
SN637 10 3 60974.03562568682 0.7891988902276906 22.642858944235655 9.685497579969311
SN638 10 4 61238.405739096 0.39191883208229417 22.632072544657632 15.300928683737922
SN645 4 3 61236.34724978593 0.4830282625581105 22.710447991654114 7.768878166886363
SN648 6 2 60714.25005471436 1.357470430279923 22.813872729244494 49.3975879366194
SN660 3 3 60781.41569053922 0.9447738614173001 23.038584064710292 87.77369612887325
SN670 28 4 60923.24915006569 0.7488767056093625 22.446781357456743 33.49041054644926
SN672 4 3 60999.28383909247 0.2891563055417224 22.85841904682332 33.58332954368181
SN674 5 3 61238.40722240793 0.7064655735193078 22.19487031739561 54.30738045600387
SN675 5 3 61160.400761865065 0.15199530222956242 22.466832282367022 9.49079386316399
SN677 9 4 60333.064342210484 0.5477589173154214 21.89155628998809 8.702853352266459
SN678 5 4 61030.11541205937 0.4241454880113826 22.219903586024884 3.556806326712324
SN679 11 4 60286.31671229428 0.4373357575101354 22.387665517771932 19.394559351306146
SN680 10 4 60920.039721945795 0.39310998579476547 23.24737424409605 12.198734315951315
SN681 12 4 61057.28294781472 0.9725254771446894 21.946914005410626 27.959431750749594
SN684 12 4 60391.387381326356 0.2547203051332076 22.74084397129149 3.757852196712943
SN687 13 4 60627.26453641895 0.9171377173375223 22.858768345743258 61.99452809199912
SN692 14 5 61226.98237207749 0.29882407798610416 20.88751773176324 0.537615206145055
SN693 15 4 60390.372129428615 0.3256642451258357 22.329740457944485 3.602958536153534
SN697 15 5 61045.35766117992 0.5165061475913197 23.274000851813486 24.007215538460944
SN700 9 4 60659.06213582035 0.261279260256637 21.954346036964637 27.642621550833873
SN702 5 3 60564.39430317498 0.17578944022824128 23.428663961652653 7.0836889527466225
SN703 10 4 61029.26143230416 0.2333201931120337 22.864292226243748 6.246054763044022
SN710 2 2 60750.019865450966 0.19076784646254746 22.570158175494154 1.5928264150479148
SN712 2 1 60362.393345742166 1.291482394932758 20.66463824343939 26.286400545737457
SN718 2 2 60788.382928780775 0.3832480556534242 22.186364539768746 2.784088200831235
SN719 8 3 60714.34449225267 1.4022390458530216 21.885978583962576 10.005582751374984
SN723 12 5 60339.34500136907 0.4328939851530341 23.10776093354945 45.39134597666524
